Amsterdamse code,CBS code,Naam, geldige stemmen, ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen, kiesgerechtigden,Opkomst,Opkomstpercentage,PvdA,CDA,VVD,D66,AOV,GL,CD,RPF,SGP,GPV,SP,Unie55+,CP86,Natuurwetpartij,Vrije Indische Partij,De Groenen,Nieuwe Communistische Partij,Solidariteit Boerenpartij,Partij voor Milieu en Recht,Solidair '93,PSP'92,De Nieuwe Partij,Algemeen Democratische Partij,Patriottisch Democratisch Appèl,Socialistische Arbeiderspartij,Libertarische Partij,1994
11084,0738,Aalburg,6722,17,"0,25 ",7978,6739,"84,47 ",812,1733,931,502,179,55,148,554,1496,197,34,20,12,10,1,6,0,9,5,5,0,6,0,3,1,3,1994
11264,0358,Aalsmeer,13953,28,"0,20 ",16903,13981,"82,71 ",2107,3581,4380,1988,483,293,246,283,77,123,41,85,85,30,11,27,4,9,15,7,15,15,8,29,6,5,1994
11046,0197,Aalten,11489,26,"0,23 ",13722,11515,"83,92 ",2301,5193,1407,1267,254,220,145,376,27,81,40,54,27,12,5,21,3,27,9,1,1,6,6,0,1,5,1994
11020,0648,Aardenburg,1972,15,"0,76 ",2576,1987,"77,14 ",454,605,442,216,88,27,61,6,7,10,2,18,9,0,1,4,3,9,3,0,0,2,2,0,1,2,1994
10757,0739,Aarle-Rixtel,3592,11,"0,31 ",4420,3603,"81,52 ",757,1182,629,536,150,65,82,9,5,12,43,71,6,10,3,1,0,4,2,0,5,17,0,1,2,0,1994
10712,0305,Abcoude,5288,0,"0,00 ",6107,5288,"86,59 ",827,1273,1653,865,126,135,99,69,52,52,18,47,6,11,9,12,5,7,1,0,5,1,1,9,3,2,1994
10199,0059,Achtkarspelen,16594,46,"0,28 ",20628,16640,"80,67 ",5145,5721,1320,1222,250,268,219,1033,195,915,64,31,55,22,5,14,30,18,17,15,12,7,10,0,1,5,1994
10346,0360,Akersloot,3110,8,"0,26 ",3676,3118,"84,82 ",616,814,798,522,127,78,42,12,0,10,12,36,8,16,0,6,1,3,1,1,1,0,0,2,2,2,1994
11327,0482,Alblasserdam,10736,38,"0,35 ",12985,10774,"82,97 ",3193,1843,1615,1283,267,163,267,466,1150,177,68,57,58,37,39,7,9,2,6,10,5,11,0,1,2,0,1994
10124,0613,Albrandswaard,9410,26,"0,28 ",11623,9436,"81,18 ",1648,2056,2971,1345,286,167,282,114,144,131,49,68,42,29,7,12,2,7,13,8,10,11,0,3,4,1,1994
10349,0483,Alkemade,8826,15,"0,17 ",10553,8841,"83,78 ",1037,3119,2418,1147,242,332,205,28,18,26,64,64,38,24,0,12,7,11,13,0,9,3,2,0,2,5,1994
10527,0361,Alkmaar,51775,85,"0,16 ",67168,51860,"77,21 ",13996,8566,10239,9482,1812,2938,835,402,72,357,1210,512,242,317,100,147,57,24,58,128,91,60,10,56,36,28,1994
11053,0141,Almelo,35915,119,"0,33 ",46503,36034,"77,49 ",10794,8260,5657,5257,962,926,902,547,104,441,526,864,174,85,186,24,51,24,35,18,26,29,7,0,5,11,1994
10018,0034,Almere,51835,172,"0,33 ",67424,52007,"77,13 ",11768,4484,14610,11473,2741,2127,1610,334,57,402,476,474,301,223,117,60,115,21,63,89,35,35,0,192,11,17,1994
10517,0484,Alphen aan den Rijn,37673,65,"0,17 ",47950,37738,"78,70 ",6272,7797,9797,6983,1049,1119,607,1099,525,523,1188,181,99,81,90,85,16,22,47,9,29,20,10,0,16,9,1994
10710,0741,Alphen en Riel,3898,9,"0,23 ",4657,3907,"83,90 ",581,1609,775,556,164,51,61,10,3,6,19,18,9,8,5,1,2,1,11,0,2,1,1,0,2,2,1994
11400,0142,Ambt Delden,3579,6,"0,17 ",3995,3585,"89,74 ",401,2018,718,257,36,26,50,7,2,8,3,20,3,4,0,1,3,19,1,2,0,0,0,0,0,0,1994
11153,0060,Ameland,2805,7,"0,25 ",2543,2812,"110,58 ",735,968,522,308,74,62,33,22,6,29,4,14,8,3,0,1,6,1,0,2,4,0,0,0,1,2,1994
11372,0306,Amerongen,4606,3,"0,07 ",5413,4609,"85,15 ",884,1020,1087,585,121,62,93,191,393,55,19,25,14,7,7,2,2,15,3,2,4,8,1,2,0,4,1994
10948,0307,Amersfoort,64007,171,"0,27 ",81899,64178,"78,36 ",13676,11984,13333,11939,2046,3011,1298,1064,713,2583,401,727,221,227,204,97,54,51,52,74,48,60,19,60,45,20,1994
10151,0198,Ammerzoden,2764,11,"0,40 ",3333,2775,"83,26 ",493,1021,489,357,113,31,87,31,42,14,19,37,5,6,0,5,2,4,1,0,0,0,5,0,2,0,1994
10799,0362,Amstelveen,47981,61,"0,13 ",57379,48042,"83,73 ",9210,8042,15470,8979,1995,1645,532,332,82,276,193,349,155,204,154,64,27,32,47,15,43,24,9,75,18,9,1994
11150,0363,Amsterdam,350551,1563,"0,45 ",506028,352114,"69,58 ",116425,27711,64228,62194,14567,29931,12893,1517,324,1194,5386,3292,2095,1739,935,1543,1357,107,331,432,663,230,79,969,308,101,1994
