Amsterdamse code,CBS code,Naam, geldige stemmen, ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen, kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,SP,VVD,PVV,GL,CU,D66,PvdD,SGP,EénNL,Fortuyn,Verenigde Senioren Partij,Ad Bos Collectief,Partij voor Nederland,Lijst Potmis,Nederland Transparant,Groen Vrij Internet Partij,Liberaal Democratische Partij,Lijst Poortman,Continue Directe Democratie Partij,LRVP - het Zeteltje,Solide Multiculturele Partij,Tamara's Open Partij,2006
10787,1680,Aa en Hunze,17009,23,"0,14 ",19837,17032,"85,86 ",2590,5745,2605,3617,594,822,372,266,255,20,67,34,0,0,14,0,2,0,2,4,0,0,0,0,2006
11084,738,Aalburg,7706,5,"0,06 ",8936,7711,"86,29 ",2765,637,582,699,411,59,887,29,94,1489,33,11,5,2,0,1,1,0,0,0,1,0,0,0,2006
11264,358,Aalsmeer,15512,23,"0,15 ",18515,15535,"83,90 ",5397,2230,1420,3622,938,480,663,241,283,57,89,32,37,8,7,0,1,5,0,1,0,0,0,1,2006
11046,197,Aalten,16906,13,"0,08 ",20565,16919,"82,27 ",6946,2899,3036,1624,542,421,956,154,194,29,52,13,15,2,8,3,4,3,4,1,0,0,0,0,2006
10712,305,Abcoude,5498,5,"0,09 ",6217,5503,"88,52 ",1701,808,489,1403,190,374,166,193,102,32,23,5,5,1,5,0,0,0,0,0,1,0,0,0,2006
10199,59,Achtkarspelen,17619,14,"0,08 ",21513,17633,"81,96 ",6119,4522,2651,1073,536,332,1953,52,162,134,44,13,6,4,7,0,2,5,0,4,0,0,0,0,2006
11327,482,Alblasserdam,11413,11,"0,10 ",13627,11424,"83,83 ",2634,2338,1529,1074,669,201,1101,182,132,1389,101,36,10,5,9,2,1,0,0,0,0,0,0,0,2006
10124,613,Albrandswaard,13476,17,"0,13 ",16158,13493,"83,51 ",3640,2080,1634,2917,1312,353,503,226,268,150,313,48,9,9,4,3,5,0,1,1,0,0,0,0,2006
10349,483,Alkemade,9472,8,"0,08 ",10909,9480,"86,90 ",4059,1221,1056,1875,484,307,108,111,129,10,61,37,0,4,0,4,3,0,2,0,1,0,0,0,2006
10527,361,Alkmaar,56863,80,"0,14 ",71192,56943,"79,99 ",11008,13433,12487,7939,3220,3952,1350,1346,1262,59,364,123,87,41,33,0,21,93,22,19,4,0,0,0,2006
11053,141,Almelo,40762,30,"0,07 ",53184,40792,"76,70 ",10678,10692,7211,4690,2293,1313,1801,1154,478,89,146,60,69,17,20,0,5,32,11,0,3,0,0,0,2006
10018,34,Almere,95082,192,"0,20 ",124406,95274,"76,58 ",16448,24240,16491,17371,8075,4220,2650,1651,2340,100,660,290,264,77,55,0,31,68,20,26,5,0,0,0,2006
10517,484,Alphen aan den Rijn,42114,88,"0,21 ",52905,42202,"79,77 ",11909,7605,6179,7659,2251,1811,2237,829,741,439,261,83,0,27,31,20,6,0,13,11,2,0,0,0,2006
10710,1723,Alphen-Chaam,5995,1,"0,02 ",7179,5996,"83,52 ",2808,708,762,1015,322,134,47,63,73,0,18,13,12,6,0,1,8,0,2,3,0,0,0,0,2006
10456,1679,Ambt Montfort,7081,8,"0,11 ",8620,7089,"82,24 ",2411,1193,1217,703,1061,194,63,37,115,6,26,14,15,14,11,0,0,0,0,1,0,0,0,0,2006
11153,60,Ameland,2446,0,"0,00 ",2614,2446,"93,57 ",991,491,255,419,86,90,46,24,30,4,3,3,3,0,0,0,0,1,0,0,0,0,0,0,2006
10948,307,Amersfoort,81911,122,"0,15 ",100205,82033,"81,87 ",19514,16987,12543,12729,3714,5476,5760,2149,1557,617,390,135,89,61,23,110,13,0,25,15,4,0,0,0,2006
10799,362,Amstelveen,47474,70,"0,15 ",57040,47544,"83,35 ",11094,9601,5539,11280,2122,3029,1216,1499,1394,75,275,67,140,41,23,0,10,19,20,24,1,0,0,5,2006
11150,363,Amsterdam,391072,2624,"0,67 ",529314,393696,"74,38 ",37498,117818,72249,54533,17456,48857,6010,17507,13547,324,2344,660,665,220,245,0,92,256,184,233,57,185,132,0,2006
10822,364,Andijk,4149,8,"0,19 ",4915,4157,"84,58 ",1375,597,577,681,219,132,312,36,108,46,35,15,10,3,1,0,0,1,0,1,0,0,0,0,2006
10344,366,Anna Paulowna,8535,10,"0,12 ",10486,8545,"81,49 ",2687,1412,1273,1845,490,241,195,100,146,18,51,28,19,5,5,0,10,4,2,1,3,0,0,0,2006
11075,200,Apeldoorn,97470,115,"0,12 ",119022,97585,"81,99 ",24543,21398,15560,14693,4621,4022,5133,2115,2085,2364,413,180,111,40,43,42,37,35,17,18,0,0,0,0,2006
10886,3,Appingedam,7691,14,"0,18 ",9634,7705,"79,98 ",1384,2839,1620,691,255,235,401,106,89,13,17,19,7,6,4,0,3,0,2,0,0,0,0,0,2006
10202,885,Arcen en Velden,5430,8,"0,15 ",6668,5438,"81,55 ",2319,741,813,617,640,126,40,39,53,0,13,8,11,2,3,0,3,0,0,2,0,0,0,0,2006
10795,202,Arnhem,80674,162,"0,20 ",107878,80836,"74,93 ",14071,20686,18111,10134,3752,6121,2268,2580,1884,97,337,107,90,21,37,280,14,35,23,26,0,0,0,0,2006
10522,106,Assen,39308,45,"0,11 ",47786,39353,"82,35 ",6721,12126,7265,4789,1293,1881,3645,606,593,141,140,79,0,0,13,0,8,0,6,2,0,0,0,0,2006
10478,743,Asten,10267,13,"0,13 ",12357,10280,"83,19 ",4705,1327,1737,1301,590,215,86,104,96,7,57,23,13,0,4,0,1,0,1,0,0,0,0,0,2006
10060,744,Baarle-Nassau,4020,2,"0,05 ",5199,4022,"77,36 ",1820,531,606,535,252,101,35,36,70,0,22,8,2,0,0,0,2,0,0,0,0,0,0,0,2006
11411,308,Baarn,15470,35,"0,23 ",18399,15505,"84,27 ",4245,2619,1920,3246,768,848,734,420,420,103,70,34,22,6,6,1,1,0,4,3,0,0,0,0,2006
10943,489,Barendrecht,26163,35,"0,13 ",31232,26198,"83,88 ",7289,3984,3093,4935,2189,758,1281,405,476,1059,548,75,19,14,18,13,2,0,5,0,0,0,0,0,2006
10906,203,Barneveld,31531,22,"0,07 ",36024,31553,"87,59 ",12400,2275,1896,3328,1210,367,3818,241,241,5547,103,37,12,9,18,6,6,5,8,4,0,0,0,0,2006
10425,5,Bedum,6887,8,"0,12 ",7924,6895,"87,01 ",2174,1560,933,538,160,306,975,76,71,55,17,7,5,5,4,0,1,0,0,0,0,0,0,0,2006
11374,888,Beek,10636,11,"0,10 ",13079,10647,"81,41 ",3124,2042,1929,1282,1374,385,121,126,144,4,30,26,23,9,15,0,1,0,0,1,0,0,0,0,2006
10816,370,Beemster,5528,13,"0,24 ",6450,5541,"85,91 ",1607,928,737,1388,286,238,57,92,134,6,25,13,9,0,0,0,3,4,0,1,0,0,0,0,2006
10195,889,Beesel,7911,9,"0,11 ",10347,7920,"76,54 ",2384,1492,1349,862,1305,191,84,52,99,11,31,15,13,14,5,0,2,0,0,2,0,0,0,0,2006
10340,7,Bellingwedde,6086,2,"0,03 ",7487,6088,"81,31 ",830,2354,1303,660,277,213,179,44,153,13,17,14,11,11,5,0,0,0,0,2,0,0,0,0,2006
10734,372,Bennebroek,3481,7,"0,20 ",3991,3488,"87,40 ",1171,493,305,957,99,169,83,74,92,4,19,3,2,3,2,0,0,2,1,2,0,0,0,0,2006
10962,491,Bergambacht,6154,7,"0,11 ",7026,6161,"87,69 ",1690,1150,554,998,295,124,446,61,105,655,45,20,0,4,4,1,1,0,1,0,0,0,0,0,2006
11160,1724,Bergeijk,11191,12,"0,11 ",13574,11203,"82,53 ",5135,1343,1887,1533,670,204,112,92,101,5,38,22,21,0,7,0,15,0,1,4,1,0,0,0,2006
11281,893,Bergen (L),7828,6,"0,08 ",10279,7834,"76,21 ",3111,1319,1463,784,733,161,48,59,94,3,29,8,4,7,4,0,1,0,0,0,0,0,0,0,2006
