Amsterdamse code,CBS code,Naam, geldige stemmen, ongeldige stemmen, blanco stemmen,Percentage blanco stemmen, kiesgerechtigden,Opkomst,Opkomstpercentage,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,2012
10787,1680,Aa en Hunze,16342,21,16,"0,10 ",20373,16379,"80,40 ",4725,6063,990,1300,850,1170,232,344,46,290,207,29,40,20,7,19,4,3,2,1,0,2012
11084,738,Aalburg,7611,23,7,"0,09 ",9474,7641,"80,65 ",1778,662,834,409,856,183,851,49,1757,102,104,9,2,4,4,4,2,1,0,0,0,2012
11264,358,Aalsmeer,17636,35,25,"0,14 ",22193,17696,"79,74 ",8058,2646,1610,727,1495,1326,633,218,134,306,354,38,24,19,22,18,5,0,3,0,0,2012
11046,197,Aalten,15880,21,17,"0,11 ",20804,15918,"76,51 ",3485,3728,1176,1918,3059,888,710,258,93,196,263,29,26,23,9,8,3,5,3,0,0,2012
10199,59,Achtkarspelen,15592,33,22,"0,14 ",21458,15647,"72,92 ",2329,4622,1463,1351,2760,433,1811,133,272,165,144,32,17,17,13,10,14,3,1,2,0,2012
11327,482,Alblasserdam,11025,20,10,"0,09 ",13960,11055,"79,19 ",2205,2406,1070,708,923,420,1016,101,1761,158,194,28,4,4,11,5,6,1,1,3,0,2012
10124,613,Albrandswaard,14212,27,20,"0,14 ",18933,14259,"75,31 ",5293,2616,1931,922,1048,922,345,190,205,315,290,37,31,19,11,12,4,18,1,2,0,2012
10527,361,Alkmaar,54113,99,142,"0,26 ",72284,54354,"75,20 ",12941,16567,4795,6181,2906,4749,687,1701,79,1497,1310,218,189,99,49,60,37,8,19,21,0,2012
11053,141,Almelo,37000,102,70,"0,19 ",54264,37172,"68,50 ",8054,10744,4657,4161,3739,2131,1192,529,181,538,686,106,77,74,29,50,17,12,12,11,0,2012
10018,34,Almere,94652,279,199,"0,21 ",137698,95130,"69,09 ",26928,27154,13132,9048,2576,6163,1749,1825,259,2258,2307,465,200,197,138,114,49,24,30,36,0,2012
10517,484,Alphen aan den Rijn,41613,81,94,"0,23 ",54900,41788,"76,12 ",13639,9113,3852,3035,3231,3606,1658,860,607,820,776,159,71,66,45,32,17,7,10,9,0,2012
10710,1723,Alphen-Chaam,5835,12,7,"0,12 ",7461,5854,"78,46 ",2249,923,486,547,878,383,15,82,4,83,131,8,18,7,8,6,2,2,0,3,0,2012
