CBScode,Winnaar
545,VVD
1948,VVD
546,D66
938,VVD
542,VVD
1942,VVD
935,PVV
1940,CDA
420,VVD
1945,VVD
1700,CDA
1701,VVD
1702,CDA
689,VVD
1705,VVD
1706,VVD
1708,VVD
1709,VVD
687,VVD
339,CDA
1669,PVV
1667,VVD
331,VVD
1663,CDA
335,VVD
59,CDA
58,CDA
114,PVV
53,CDA
118,CDA
50,VVD
56,CDA
755,VVD
756,SP
757,VVD
202,VVD
203,SGP
200,VVD
753,VVD
614,VVD
617,VVD
611,VVD
610,VVD
613,VVD
209,VVD
547,VVD
1842,VVD
907,SP
879,VVD
971,PVV
1908,CDA
870,VVD
1904,VVD
874,CDA
1900,CDA
1901,VVD
637,VVD
501,VVD
503,D66
502,VVD
505,VVD
489,VVD
482,SGP
484,VVD
1621,VVD
809,VVD
473,VVD
376,VVD
377,VVD
375,VVD
479,VVD
373,VVD
370,VVD
579,VVD
575,VVD
576,VVD
394,VVD
396,VVD
397,VVD
392,VVD
393,VVD
398,VVD
399,VVD
252,VVD
654,VVD
718,VVD
1695,VVD
893,SP
1690,VVD
715,VVD
899,PVV
717,VVD
22,VVD
24,CDA
25,VVD
1884,VVD
1883,PVV
196,VVD
626,VVD
627,VVD
620,VVD
153,VVD
150,VVD
98,VVD
96,VVD
93,VVD
629,VVD
158,CDA
90,CDA
1696,VVD
840,PVV
845,VVD
847,VVD
848,VVD
530,VVD
531,VVD
532,VVD
534,VVD
537,CDA
431,VVD
432,VVD
437,VVD
716,SGP
1699,VVD
327,VVD
321,VVD
289,D66
1719,VVD
285,VVD
281,VVD
1658,VVD
1659,VVD
448,VVD
994,VVD
995,VVD
1652,VVD
1651,CDA
441,VVD
1655,VVD
267,VVD
109,VVD
262,VVD
263,VVD
106,VVD
268,GL
269,CU
668,VVD
213,VVD
744,VVD
743,VVD
214,VVD
216,VVD
193,VVD
664,VVD
197,CDA
748,VVD
1876,VVD
63,CDA
60,VVD
1509,VVD
1507,CDA
119,VVD
962,CDA
965,PVV
1911,VVD
1916,VVD
823,VVD
498,VVD
855,VVD
794,VVD
796,VVD
797,VVD
798,VVD
400,VVD
402,VVD
405,VVD
406,VVD
361,VVD
815,VVD
362,VVD
569,VVD
228,VVD
385,VVD
384,VVD
383,VVD
622,VVD
221,VVD
222,VVD
225,VVD
226,VVD
388,VVD
1681,VVD
1680,VVD
1685,VVD
1684,VVD
703,SGP
317,VVD
707,CDA
312,VVD
313,CU
34,VVD
37,CDA
141,PVV
140,CDA
632,VVD
147,CDA
148,CDA
638,VVD
1783,VVD
758,VVD
852,VVD
851,VVD
1924,VVD
856,VVD
1926,VVD
1927,SGP
858,VVD
523,SGP
917,PVV
737,CDA
1987,SP
299,VVD
351,VVD
352,VVD
353,VVD
1641,VVD
1640,VVD
1728,VVD
1729,CDA
358,VVD
1740,SGP
293,VVD
1722,CDA
1723,VVD
297,VVD
1721,VVD
597,VVD
988,VVD
590,VVD
457,VVD
984,VVD
986,VVD
981,PVV
451,VVD
599,VVD
277,VVD
275,VVD
274,VVD
273,VVD
171,VVD
173,VVD
175,CDA
279,VVD
177,CDA
184,SGP
180,SGP
183,CDA
1581,VVD
1586,VVD
772,VVD
770,VVD
678,VVD
777,VVD
779,VVD
677,VVD
5,CDA
7,PVV
3,SP
9,CDA
307,VVD
355,VVD
356,VVD
70,CDA
72,VVD
74,VVD
79,CDA
1724,VVD
294,VVD
957,VVD
296,VVD
951,VVD
786,VVD
785,VVD
784,VVD
788,VVD
1955,VVD
828,VVD
417,VVD
416,VVD
415,VVD
453,VVD
820,VVD
826,VVD
824,VVD
983,PVV
553,VVD
450,VVD
556,VVD
363,GL
233,VVD
232,VVD
230,CDA
236,VVD
736,VVD
1774,CDA
1771,VVD
733,VVD
1773,VVD
738,SGP
308,VVD
1674,VVD
1676,VVD
304,VVD
303,VVD
302,SGP
301,VVD
48,PVV
439,VVD
40,VVD
47,SP
928,PVV
603,VVD
606,PVV
873,VVD
1859,VVD
1903,CDA
1525,VVD
1931,VVD
1930,PVV
866,VVD
867,VVD
865,VVD
861,VVD
518,VVD
512,VVD
513,VVD
189,CDA
342,VVD
340,VVD
345,VVD
344,D66
1731,VVD
1730,VVD
1735,VVD
1734,VVD
585,VVD
584,VVD
589,VVD
588,VVD
243,VVD
168,CDA
246,CDA
244,CDA
163,CDA
160,CDA
166,CDA
164,VVD
1598,VVD
642,VVD
880,VVD
881,PVV
882,PVV
765,PVV
766,VVD
888,PVV
889,PVV
1742,SGP
762,VVD
17,VVD
15,CDA
14,D66
10,SP
18,SP
1894,CDA
1895,SP
1896,SGP
1891,CDA
1892,VVD
88,VVD
85,VVD
86,VVD
80,VVD
81,CDA
1711,PVV
944,VVD
946,VVD
310,VVD
1714,"VVD
"
