Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,PvdA,VVD,CDA,D66,GL,SP,RPF,SGP,GPV,CD,AOV/Unie55+,Nederland Mobiel,Senioren 2000,Nederlandse Middenstands Partij,De Groenen,Natuurwetpartij,Katholiek Politieke Partij,Vrije Indische Partij,Nieuw Solidair Ouderen Verbond,Nieuwe Communistische Partij,Idealisten/Jij,Het Kiezers Collectief,1998
10787,1680,AA en Hunze,15588,30,"0,19 %",19258,15618,"81,10 %",6424,4595,1312,1509,863,326,93,11,103,0,105,61,54,50,20,32,2,3,0,16,6,3,1998
11084,0738,Aalburg,6784,22,"0,32 %",8335,6806,"81,66 %",1029,1259,1478,195,166,117,708,1523,141,67,19,42,13,15,2,3,0,2,3,0,2,0,1998
11264,0358,Aalsmeer,13529,11,"0,08 %",17317,13540,"78,19 %",2866,5040,2630,1235,612,176,365,69,127,77,44,98,61,69,17,17,12,4,0,3,5,2,1998
11046,0197,Aalten,11130,24,"0,22 %",13840,11154,"80,59 %",2769,1573,4753,541,555,196,467,18,56,37,25,45,26,28,6,12,4,3,9,2,2,3,1998
10712,0305,Abcoude,5423,8,"0,15 %",6275,5431,"86,55 %",1032,1957,987,742,319,77,73,39,50,25,13,42,20,15,16,6,2,0,4,0,0,4,1998
10199,0059,Achtkarspelen,16297,33,"0,20 %",21097,16330,"77,40 %",4924,1558,5999,604,747,488,746,136,823,110,36,0,16,63,11,21,0,0,0,12,3,0,1998
10346,0360,Akersloot,2974,3,"0,10 %",3621,2977,"82,21 %",795,943,584,288,179,64,16,3,5,16,14,22,16,8,7,6,3,1,0,2,2,0,1998
11327,0482,Alblasserdam,10063,9,"0,09 %",13165,10072,"76,51 %",3397,1849,1463,507,371,259,639,1197,144,56,27,47,34,19,8,12,2,20,5,7,0,0,1998
10124,0613,Albrandswaard,9080,27,"0,30 %",11923,9107,"76,38 %",2221,3227,1540,819,420,197,127,150,126,48,37,68,22,21,8,18,14,4,5,2,4,2,1998
10349,0483,Alkemade,8409,10,"0,12 %",10676,8419,"78,86 %",1837,2740,2239,571,531,171,25,8,15,59,34,54,42,48,16,8,9,2,0,0,0,0,1998
