Amsterdamse code,CBS code,Naam, geldige stemmen, ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen, kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,LPF,VVD,PvdA,GL,SP,D66,CU,SGP,LN,Verenigde Senioren Partij,Vrije Indische Partij & OuderenUnie,Duurzaam Nederland,Partij van de Toekomst,Nieuwe Midden Partij,Republikeinse Volkspartij,2002
10787,1680,AA en Hunze,16206,13,"0,08 ",19445,16219,"83,41 ",2606,1893,3946,4411,1138,757,938,157,26,246,62,13,5,6,2,0,2002
11084,0738,Aalburg,7481,3,"0,04 ",8658,7484,"86,44 ",2541,1067,656,416,138,215,116,655,1574,81,7,4,0,9,2,0,2002
11264,0358,Aalsmeer,14704,15,"0,10 ",17280,14719,"85,18 ",4590,2774,3106,1486,593,537,765,361,62,303,98,0,8,17,4,0,2002
11046,0197,Aalten,11644,12,"0,10 ",13922,11656,"83,72 ",5922,1119,1088,1417,607,469,400,398,30,136,39,6,3,9,1,0,2002
10712,0305,Abcoude,5580,5,"0,09 ",6180,5585,"90,37 ",1564,845,1318,625,334,264,410,80,42,79,14,1,1,3,0,0,2002
10199,0059,Achtkarspelen,17115,15,"0,09 ",21343,17130,"80,26 ",7188,2160,1190,3025,625,704,360,1363,213,225,30,0,7,23,2,0,2002
11327,0482,Alblasserdam,11144,11,"0,10 ",13430,11155,"83,06 ",2837,1929,1155,1853,327,498,309,711,1324,145,36,15,4,1,0,0,2002
10124,0613,Albrandswaard,11552,16,"0,14 ",13760,11568,"84,07 ",2988,3188,2192,1228,359,444,498,202,143,248,43,7,5,4,3,0,2002
10349,0483,Alkemade,9239,5,"0,05 ",10733,9244,"86,13 ",3738,1558,1637,853,445,351,403,25,14,177,18,2,2,11,5,0,2002
10527,0361,Alkmaar,54653,81,"0,15 ",69192,54734,"79,10 ",11079,8557,8284,10041,5736,4850,3592,676,57,1310,304,74,66,0,27,0,2002
11053,0141,Almelo,39852,42,"0,11 ",52529,39894,"75,95 ",12259,6081,5015,7994,2557,2118,1652,1050,132,611,200,105,50,25,3,0,2002
10018,0034,Almere,83795,95,"0,11 ",109764,83890,"76,43 ",13538,19340,16279,13230,6830,4659,5081,1577,98,2374,575,118,58,0,38,0,2002
10517,0484,Alphen aan den Rijn,42084,81,"0,19 ",52995,42165,"79,56 ",11436,7013,8220,4912,2854,2211,2587,1427,512,689,114,37,32,31,9,0,2002
10710,1723,Alphen-Chaam,6156,0,"0,00 ",7078,6156,"86,97 ",2676,1014,1069,491,260,269,255,13,2,71,23,2,3,6,2,0,2002
10456,1679,Ambt Montfort,6444,27,"0,42 ",8550,6471,"75,68 ",2766,1283,716,694,341,251,224,19,2,111,21,10,1,1,4,0,2002
11153,0060,Ameland,3046,0,"0,00 ",2656,3046,"114,68 ",1107,443,499,502,155,103,118,42,4,53,14,0,0,5,1,0,2002
11372,0306,Amerongen,4618,5,"0,11 ",5429,4623,"85,15 ",1373,772,768,482,177,160,196,202,415,52,15,1,2,3,0,0,2002
10948,0307,Amersfoort,75914,85,"0,11 ",94305,75999,"80,59 ",18018,9912,13625,11290,7072,5353,4544,3862,697,1152,204,94,45,46,0,0,2002
10799,0362,Amstelveen,48086,82,"0,17 ",57505,48168,"83,76 ",10639,7675,11213,6899,3614,2657,3688,521,95,740,294,0,17,26,8,0,2002
11150,0363,Amsterdam,369785,2614,"0,71 ",524756,372399,"70,97 ",38518,61185,53243,86601,48707,40052,28349,3527,352,5052,2212,939,523,243,282,0,2002
10822,0364,Andijk,4064,5,"0,12 ",4745,4069,"85,75 ",1343,727,631,437,204,209,153,214,49,76,16,2,2,0,1,0,2002
11131,0199,Angerlo,3182,10,"0,31 ",3762,3192,"84,85 ",1178,401,509,490,183,179,160,12,5,49,7,4,1,3,1,0,2002
10344,0366,Anna Paulowna,8443,3,"0,04 ",10351,8446,"81,60 ",2556,1468,1919,933,369,337,391,93,21,256,76,10,7,0,7,0,2002
11075,0200,Apeldoorn,94366,85,"0,09 ",118243,94451,"79,88 ",27139,13122,15935,14673,6709,4482,5058,2686,2458,1476,284,164,105,56,19,0,2002
10886,0003,Appingedam,7263,2,"0,03 ",9772,7265,"74,35 ",1781,1020,792,2074,397,382,352,262,15,136,33,12,1,5,1,0,2002
10202,0885,Arcen en Velden,5455,8,"0,15 ",6636,5463,"82,32 ",2786,761,682,462,268,193,186,15,5,70,21,4,1,1,0,0,2002
10795,0202,Arnhem,78176,322,"0,41 ",106615,78498,"73,63 ",15393,12036,11416,14882,9385,6804,5091,1213,113,1112,267,182,232,39,11,0,2002
10522,0106,Assen,35826,30,"0,08 ",44929,35856,"79,81 ",7713,3938,5127,8394,3052,2258,1943,2638,139,426,105,43,26,19,5,0,2002
10478,0743,Asten,9954,33,"0,33 ",11926,9987,"83,74 ",4476,1536,1380,908,528,533,344,14,4,166,39,6,0,19,1,0,2002
11289,0650,Axel,6894,28,"0,41 ",8975,6922,"77,13 ",2235,1256,905,917,315,220,239,550,94,116,33,0,7,5,2,0,2002
10060,0744,Baarle Nassau,3948,2,"0,05 ",4925,3950,"80,20 ",1717,772,569,340,162,170,135,12,3,47,14,1,3,1,2,0,2002
11411,0308,Baarn,15096,21,"0,14 ",18351,15117,"82,38 ",3921,2427,3088,1976,1033,836,876,506,118,230,61,9,6,9,0,0,2002
10943,0489,Barendrecht,21485,11,"0,05 ",25285,21496,"85,01 ",5858,5128,3562,2065,842,821,988,740,1056,339,49,13,10,9,5,0,2002
10906,0203,Barneveld,30168,6,"0,02 ",34124,30174,"88,42 ",11310,3734,3001,1728,698,612,573,2604,5489,327,57,17,6,8,4,0,2002
11030,0144,Bathmen,3576,13,"0,36 ",4080,3589,"87,97 ",1150,360,884,588,199,131,187,12,1,50,10,2,0,1,1,0,2002
10425,0005,Bedum,7072,4,"0,06 ",8100,7076,"87,36 ",2659,621,651,1132,392,292,328,841,58,81,9,2,3,2,1,0,2002
11374,0888,Beek,10192,12,"0,12 ",13101,10204,"77,89 ",4035,1834,1428,1134,615,431,450,33,2,166,29,23,5,3,4,0,2002
10816,0370,Beemster,5572,15,"0,27 ",6517,5587,"85,73 ",1416,929,1350,841,285,274,303,26,3,103,36,3,0,0,3,0,2002
10195,0889,Beesel,7421,6,"0,08 ",10104,7427,"73,51 ",2755,1550,1032,827,431,290,308,16,6,153,30,11,2,3,7,0,2002
10340,0007,Bellingwedde,5718,7,"0,12 ",7548,5725,"75,85 ",895,1055,736,1818,402,342,218,87,16,117,26,0,2,4,0,0,2002
10744,0206,Bemmel,26054,16,"0,06 ",32110,26070,"81,19 ",9351,3675,4159,3610,1601,1257,1566,123,22,561,87,16,4,16,6,0,2002
10734,0372,Bennebroek,3605,4,"0,11 ",4165,3609,"86,65 ",1175,504,981,335,183,127,229,26,6,30,8,0,0,0,1,0,2002
10962,0491,Bergambacht,6021,3,"0,05 ",6863,6024,"87,78 ",1469,933,1040,951,158,190,233,277,653,103,8,0,2,2,2,0,2002
11160,1724,Bergeijk,11219,7,"0,06 ",13431,11226,"83,58 ",4907,1892,1713,1066,499,508,334,43,6,164,60,6,1,16,4,0,2002
11424,0373,Bergen,21219,14,"0,07 ",24490,21233,"86,70 ",4970,3865,4590,2844,1589,1292,1345,100,17,465,119,12,7,0,4,0,2002
11281,0893,Bergen  (L),7572,10,"0,13 ",10046,7582,"75,47 ",3267,1350,917,957,304,343,250,9,4,118,33,9,2,8,1,0,2002
11037,0748,Bergen op Zoom,35726,34,"0,10 ",48290,35760,"74,05 ",9311,7501,7343,4503,2163,1915,1856,218,38,615,120,47,57,30,9,0,2002
10350,0207,Bergh,10939,9,"0,08 ",14062,10948,"77,86 ",4435,1839,1581,1510,498,421,411,29,15,136,38,1,4,15,6,0,2002
10445,0492,Bergschenhoek,8549,4,"0,05 ",9898,8553,"86,41 ",2657,2067,1731,646,258,250,377,322,46,167,24,3,0,1,0,0,2002
10139,0493,Berkel en Rodenrijs,10867,7,"0,06 ",12403,10874,"87,67 ",3809,2251,1728,852,427,359,406,763,96,141,25,3,1,3,3,0,2002
10149,1721,Bernheze,17035,26,"0,15 ",21367,17061,"79,85 ",7480,2132,2324,1576,856,1654,669,25,11,237,29,12,5,25,0,0,2002
10316,0568,Bernisse,8156,13,"0,16 ",9811,8169,"83,26 ",2311,1914,1565,973,233,298,403,130,113,184,22,2,6,2,0,0,2002
10442,0753,Best,16441,25,"0,15 ",20339,16466,"80,96 ",5614,2816,2930,1783,938,895,855,226,24,233,60,14,16,34,3,0,2002
10417,0209,Beuningen,14860,38,"0,26 ",18642,14898,"79,92 ",4485,2336,2619,2141,1122,953,807,75,16,193,72,17,4,20,0,0,2002
10272,0375,Beverwijk,21190,17,"0,08 ",27225,21207,"77,90 ",5099,4481,3014,3535,1685,1433,1002,140,29,536,175,0,25,18,18,0,2002
10222,0585,Binnenmaas,12716,13,"0,10 ",14998,12729,"84,87 ",3405,2948,2135,1624,436,460,541,219,692,206,38,3,5,2,2,0,2002
11006,1728,Bladel,11532,36,"0,31 ",14341,11568,"80,66 ",5100,1736,1606,1083,573,579,450,25,6,280,40,10,4,40,0,0,2002
10493,0376,Blaricum,6443,7,"0,11 ",7242,6450,"89,06 ",1585,1094,1846,652,338,316,459,55,11,61,19,0,0,5,2,0,2002
10994,0495,Bleiswijk,6483,4,"0,06 ",7360,6487,"88,14 ",2216,1397,1237,518,198,180,247,266,102,102,11,3,2,4,0,0,2002
10850,0377,Bloemendaal,11489,7,"0,06 ",12736,11496,"90,26 ",2782,1652,3691,1158,691,410,865,76,22,97,39,0,1,4,1,0,2002
10815,0055,Boarnsterhim,12271,12,"0,10 ",14318,12283,"85,79 ",2765,1219,2273,3322,980,638,705,92,37,197,31,0,4,7,1,0,2002
11091,0497,Bodegraven,11852,8,"0,07 ",14141,11860,"83,87 ",4099,2040,1823,1096,495,372,435,637,655,139,51,3,2,3,2,0,2002
10432,0755,Boekel,5610,7,"0,12 ",6860,5617,"81,88 ",2718,936,558,455,231,381,201,10,0,68,39,0,2,10,1,0,2002
10865,0064,Bolsward,5799,9,"0,16 ",7050,5808,"82,38 ",2329,701,703,897,378,335,199,114,16,96,19,0,9,3,0,0,2002
11307,0211,Borculo,6720,7,"0,10 ",8006,6727,"84,02 ",1895,667,1773,1363,332,303,231,52,7,67,15,5,1,5,4,0,2002
10448,1681,Borger-Odoorn,16263,18,"0,11 ",20394,16281,"79,83 ",3578,2139,2784,4384,894,812,866,463,33,238,49,6,1,14,2,0,2002
10326,0147,Borne,12890,6,"0,05 ",15439,12896,"83,53 ",5474,1374,1791,2017,659,615,609,112,16,169,35,10,7,1,1,0,2002
10043,0654,Borsele,13472,19,"0,14 ",16443,13491,"82,05 ",4952,1754,1563,1307,593,489,438,347,1806,159,51,0,4,7,2,0,2002
10419,0499,Boskoop,9603,13,"0,14 ",11212,9616,"85,77 ",3281,1734,1677,757,532,318,432,333,335,158,26,7,2,10,1,0,2002
11227,0756,Boxmeer,17979,17,"0,09 ",21738,17996,"82,79 ",7189,2555,2321,1935,1016,1807,776,56,15,208,66,18,7,9,1,0,2002
10083,0757,Boxtel,16993,20,"0,12 ",22336,17013,"76,17 ",5517,2691,2363,2244,1316,1369,1056,73,11,225,71,23,13,20,1,0,2002
10154,0758,Breda,93787,121,"0,13 ",124467,93908,"75,45 ",25024,15403,17411,12283,7841,6546,6321,516,95,1612,332,134,162,92,15,0,2002
10807,0311,Breukelen,9216,11,"0,12 ",10650,9227,"86,64 ",2876,1294,1820,836,526,351,511,339,489,121,42,7,1,3,0,0,2002
10232,0501,Brielle,10221,11,"0,11 ",12373,10232,"82,70 ",2262,2396,2255,1414,423,519,533,86,29,238,54,6,2,3,1,0,2002
10798,0213,Brummen,13441,43,"0,32 ",16320,13484,"82,62 ",3586,1917,2373,3000,788,651,681,109,47,220,39,15,3,12,0,0,2002
10533,0899,Brunssum,16379,27,"0,16 ",23417,16406,"70,06 ",5273,3410,1559,2508,916,1601,501,198,8,280,58,39,4,19,5,0,2002
10820,0312,Bunnik,9310,10,"0,11 ",10461,9320,"89,09 ",3065,1083,1698,1110,850,489,666,101,113,111,17,4,3,0,0,0,2002
11343,0313,Bunschoten,12004,6,"0,05 ",13693,12010,"87,71 ",5120,1511,592,347,157,163,122,3575,296,89,10,4,13,5,0,0,2002
11286,0214,Buren,16243,13,"0,08 ",19456,16256,"83,55 ",3698,3160,3336,2818,620,590,723,266,693,279,33,7,5,15,0,0,2002
10281,0381,Bussum,19695,23,"0,12 ",23627,19718,"83,46 ",4679,2917,4843,2618,1388,1096,1434,260,77,213,145,0,5,16,4,0,2002
11248,0502,Capelle a/d IJssel,39091,45,"0,12 ",49436,39136,"79,16 ",8074,10103,5806,5522,1838,1722,1855,1240,1988,739,116,32,26,21,9,0,2002
11287,0383,Castricum,23391,15,"0,06 ",26709,23406,"87,63 ",6581,3343,4696,3048,1969,1382,1547,149,17,522,105,19,3,0,10,0,2002
10383,0109,Coevorden,22213,10,"0,05 ",27251,22223,"81,55 ",6330,2697,3960,5425,1154,868,964,346,74,297,65,16,3,10,4,0,2002
10219,1706,Cranendonck,12113,11,"0,09 ",15322,12124,"79,13 ",4947,2402,1759,1277,462,530,426,33,7,181,58,9,1,15,6,0,2002
11346,0611,Cromstrijen,8374,5,"0,06 ",10018,8379,"83,64 ",2239,1784,1415,1138,263,359,366,151,481,124,40,6,2,3,3,0,2002
10023,1684,Cuijk,14034,19,"0,14 ",18045,14053,"77,88 ",4708,2345,1956,1859,1064,986,753,28,8,212,72,15,15,11,2,0,2002
10342,0216,Culemborg,15018,19,"0,13 ",18543,15037,"81,09 ",3520,2815,2506,2364,1262,1103,804,196,126,252,34,7,10,19,0,0,2002
11007,0148,Dalfsen,16707,9,"0,05 ",19408,16716,"86,13 ",8134,1393,1870,1713,637,437,527,1460,293,192,27,7,4,10,3,0,2002
10650,0065,Dantumadeel,11973,11,"0,09 ",14692,11984,"81,57 ",5062,1380,746,1853,495,433,295,953,580,139,20,0,5,11,1,0,2002
10168,0310,De Bilt,28170,29,"0,10 ",32257,28199,"87,42 ",6809,4052,6123,3365,2161,1622,2079,678,823,347,89,8,3,11,0,0,2002
10241,0552,De Lier,7050,9,"0,13 ",8102,7059,"87,13 ",3434,1498,1066,306,135,133,183,143,17,110,9,6,4,4,2,0,2002
10180,1663,De Marne,6930,7,"0,10 ",8444,6937,"82,15 ",1904,826,865,1480,432,422,227,603,32,105,20,7,3,2,2,0,2002
11379,0736,De Ronde Venen,21527,15,"0,07 ",25437,21542,"84,69 ",7132,4023,4536,1742,814,868,1007,578,350,348,81,23,5,20,0,0,2002
10262,1690,De Wolden,15215,7,"0,05 ",18090,15222,"84,15 ",4426,1659,3441,2865,745,620,646,420,60,239,62,16,2,12,2,0,2002
10928,0503,Delft,58806,141,"0,24 ",72674,58947,"81,11 ",12253,10167,9143,10129,6112,4136,4253,1103,343,762,154,75,137,30,9,0,2002
10976,0010,Delfzijl,16491,14,"0,08 ",22248,16505,"74,19 ",4247,2555,2035,4199,870,825,640,629,34,329,82,21,11,11,3,0,2002
11434,0518,Den Haag,252127,596,"0,24 ",352474,252723,"71,70 ",45077,57446,47749,41794,20183,13860,15810,3237,1345,3228,903,437,830,112,53,63,2002
