Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige stemmen,# blanco stemmen,Percentage blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Piratenpartij,Lijst 17,Partij één,Nieuw Nederland,Heel NL,Evangelische Partij Nederland,2010
10787,1680,Aa en Hunze,15973,11,13,"0,08 %",20153,15997,"79,38 %",4057,4744,1608,1259,1491,1040,1159,254,19,201,64,46,14,5,5,7,0,0,2010
11084,738,Aalburg,7648,9,3,"0,04 %",9295,7660,"82,41 %",1136,491,1224,1553,423,162,152,820,1575,60,33,10,2,4,0,3,0,0,2010
11264,358,Aalsmeer,17446,42,21,"0,12 %",21643,17509,"80,90 %",6024,2170,2499,2738,967,1169,807,613,81,212,105,28,12,14,1,6,0,0,2010
11046,197,Aalten,16101,13,13,"0,08 %",20741,16127,"77,75 %",2478,2700,1868,4329,2193,704,725,754,53,149,74,39,1,15,2,9,3,5,2010
10712,305,Abcoude,5424,2,4,"0,07 %",6251,5430,"86,87 %",1789,937,498,718,241,580,420,105,35,56,20,11,7,4,1,0,2,0,2010
10199,59,Achtkarspelen,15867,24,7,"0,04 %",21555,15898,"73,76 %",1577,3257,2290,4185,1559,367,511,1700,180,132,49,28,7,8,1,3,0,13,2010
11327,482,Alblasserdam,10919,20,8,"0,07 %",13929,10947,"78,59 %",1733,1929,1557,1381,827,396,372,1041,1511,102,43,15,5,5,2,0,0,0,2010
10124,613,Albrandswaard,14202,23,13,"0,09 %",18399,14238,"77,38 %",4193,1838,2909,1662,1206,879,624,366,175,209,88,26,7,12,3,3,2,0,2010
10527,361,Alkmaar,53844,77,73,"0,14 %",71630,53994,"75,38 %",10172,13400,6993,4605,6250,4451,5321,782,56,1011,402,229,69,50,13,17,14,9,2010
11053,141,Almelo,37167,84,40,"0,11 %",53936,37291,"69,14 %",6306,8379,7001,5441,3984,2128,1759,1269,97,336,261,117,53,14,9,8,5,0,2010
10018,34,Almere,94134,207,103,"0,11 %",132492,94444,"71,28 %",24377,22295,16641,4850,8857,5990,6120,1947,118,1505,770,296,158,81,32,19,0,78,2010
10517,484,Alphen aan den Rijn,41880,76,47,"0,11 %",55973,42003,"75,04 %",10889,7198,5773,5165,3588,3286,2749,1752,472,546,245,105,38,42,10,15,7,0,2010
10710,1723,Alphen-Chaam,5928,11,6,"0,10 %",7296,5945,"81,48 %",1521,649,896,1612,531,312,240,27,3,56,51,16,4,8,0,1,1,0,2010
11153,60,Ameland,2933,4,2,"0,07 %",2650,2939,"110,91 %",600,581,371,724,178,152,196,54,12,26,14,21,2,0,0,2,0,0,2010
10948,307,Amersfoort,82969,103,81,"0,10 %",105609,83153,"78,74 %",18222,17167,9527,8384,6874,7518,7706,5016,704,1036,320,281,110,47,17,25,15,0,2010
10799,362,Amstelveen,45237,71,31,"0,07 %",57077,45339,"79,43 %",12929,9637,5089,4200,2962,4890,3541,753,88,709,160,164,48,44,12,11,0,0,2010
11150,363,Amsterdam,385008,1648,462,"0,12 %",546620,387118,"70,82 %",64798,135816,36172,12705,27890,45613,48190,3405,274,6927,1067,917,603,226,189,93,0,123,2010
10822,364,Andijk,3841,0,4,"0,10 %",4910,3845,"78,31 %",891,514,612,680,364,174,182,251,56,66,29,16,3,1,1,1,0,0,2010
