Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels,,,,,,,,,,,,,,,,,,,,,,,
CDA,,2763480,"28,62 %",44,,,,,,,,,,,,,,,,,,,,,,,
PvdA,,2631363,"27,26 %",42,,,,,,,,,,,,,,,,,,,,,,,
VVD,,1728707,"17,91 %",28,,,,,,,,,,,,,,,,,,,,,,,
SP,,609723,"6,32 %",9,,,,,,,,,,,,,,,,,,,,,,,
LPF,,549975,"5,70 %",8,,,,,,,,,,,,,,,,,,,,,,,
GL,,495802,"5,14 %",8,,,,,,,,,,,,,,,,,,,,,,,
D66,,393333,"4,07 %",6,,,,,,,,,,,,,,,,,,,,,,,
CU,,204694,"2,12 %",3,,,,,,,,,,,,,,,,,,,,,,,
SGP,,150305,"1,56 %",2,,,,,,,,,,,,,,,,,,,,,,,
PvdD,,47754,"0,49 %",0,,,,,,,,,,,,,,,,,,,,,,,
LN,,38894,"0,40 %",0,,,,,,,,,,,,,,,,,,,,,,,
Partij van de Toekomst,,13845,"0,14 %",0,,,,,,,,,,,,,,,,,,,,,,,
Lijst Ratelband,,9045,"0,09 %",0,,,,,,,,,,,,,,,,,,,,,,,
Duurzaam Nederland,,7271,"0,08 %",0,,,,,,,,,,,,,,,,,,,,,,,
Nieuwe Communistische Partij,,4854,"0,05 %",0,,,,,,,,,,,,,,,,,,,,,,,
De Conservatieven.nl,,2521,"0,03 %",0,,,,,,,,,,,,,,,,,,,,,,,
VIP Vooruitstrevende Integratie Partij,,1623,"0,02 %",0,,,,,,,,,,,,,,,,,,,,,,,
Alliantie Vernieuwing en Democratie,,990,"0,01 %",0,,,,,,,,,,,,,,,,,,,,,,,
Lijst Veldhoen,,296,"0,00 %",0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
